experiment,accuracy,precision,recall,f1,pr_auc,roc_auc,tp,fp,tn,fn,phase
Dummy A -- Most Frequent (always legitimate),0.988901477490809,0.0,0.0,0.0,0.011098522509190963,0.5,0,0,85538,960,Phase 5 -- corrected dummy
"Dummy B -- Stratified (random, by class prior)",0.9764850054336517,0.01358695652173913,0.015625,0.014534883720930232,0.011137404290637028,0.5014469080993242,15,1089,84449,945,Phase 5 -- corrected dummy
XGBoost | Set B | TEST @ Default (0.50),0.9974105125683962,0.9016874541452677,0.8534722222222222,0.8769175882982518,0.9481718002577794,0.9990703609840159,1229,134,131657,211,Phase 5 -- final test
XGBoost | Set B | TEST @ Locked (0.5631),0.997380489525711,0.9129447388342165,0.8375,0.8735965229989135,0.9481718002577794,0.9990703609840159,1206,115,131676,234,Phase 5 -- final test
